date,place,sun_dur,prec,weather_label,weather_no
230815,ebina,0.017,15.5,cyry,1
230815,gotenba,0.15,37.5,cfry,4
230816,odawara,0.733,4.0,cfrf,5
230816,ebina,0.133,3.0,cfrf,5
230816,gotenba,0.017,22.0,cyry,1
230817,odawara,0.933,0.0,cnrn,9
230817,ebina,1.083,0.0,cnrn,9
230817,gotenba,0.7,0.0,cfrn,6
230818,odawara,1.083,0.0,cnrn,9
230818,ebina,1.067,0.0,cnrn,9
230818,gotenba,0.833,0.0,cfrn,6
230819,odawara,0.95,0.0,cnrn,9
230819,ebina,0.617,0.0,cfrn,6
230819,gotenba,0.867,0.0,cfrn,6
230820,odawara,0.933,0.0,cnrn,9
230820,ebina,0.767,0.0,cfrn,6
230820,gotenba,0.933,0.0,cnrn,9
230821,odawara,0.967,0.0,cnrn,9
230821,ebina,0.65,0.0,cfrn,6
230821,gotenba,1.017,0.0,cnrn,9
230822,odawara,0.517,0.0,cfrn,6
230822,ebina,0.05,1.5,cyrf,2
230822,gotenba,0.1,0.0,cyrn,3
230823,odawara,0.317,31.5,cfry,4
230823,ebina,0.233,2.0,cfrf,5
230823,gotenba,0.133,18.5,cfry,4
230824,odawara,0.533,18.5,cfry,4
230824,ebina,0.45,8.5,cfrf,5
230824,gotenba,0.2,2.0,cfrf,5
230825,odawara,1.067,0.0,cnrn,9
230825,ebina,1.067,0.0,cnrn,9
230825,gotenba,1.0,0.0,cnrn,9
230826,odawara,1.017,0.0,cnrn,9
230826,ebina,0.733,0.0,cfrn,6
230826,gotenba,1.033,0.0,cnrn,9
230827,odawara,0.883,0.0,cfrn,6
230827,ebina,0.733,0.0,cfrn,6
230827,gotenba,0.967,0.0,cnrn,9
230828,odawara,0.467,0.0,cfrn,6
230828,ebina,0.417,0.0,cfrn,6
230828,gotenba,0.5,0.0,cfrn,6
230829,odawara,1.05,0.0,cnrn,9
230829,ebina,1.05,0.0,cnrn,9
230829,gotenba,1.05,0.0,cnrn,9
230830,odawara,0.9,0.0,cfrn,6
230830,ebina,0.9,0.0,cfrn,6
230830,gotenba,0.917,0.0,cnrn,9
230831,odawara,0.967,0.0,cnrn,9
230831,ebina,0.933,0.0,cnrn,9
230831,gotenba,0.95,0.0,cnrn,9
230901,odawara,1.083,0.0,cnrn,9
230901,ebina,1.05,0.0,cnrn,9
230901,gotenba,0.917,0.0,cnrn,9
230902,odawara,1.05,0.0,cnrn,9
230902,ebina,1.033,0.0,cnrn,9
230902,gotenba,1.017,0.0,cnrn,9
230903,odawara,0.967,0.0,cnrn,9
230903,ebina,0.25,0.0,cfrn,6
230903,gotenba,0.817,0.0,cfrn,6
230904,odawara,0.0,15.5,cyry,1
230904,ebina,0.133,18.0,cfry,4
230904,gotenba,0.0,11.0,cyry,1
230905,odawara,0.983,0.0,cnrn,9
230905,ebina,1.067,0.0,cnrn,9
230905,gotenba,0.85,0.0,cfrn,6
230906,odawara,0.233,0.5,cfrf,5
230906,ebina,0.083,0.0,cyrn,3
230906,gotenba,0.25,6.0,cfrf,5
230907,odawara,0.0,0.0,cyrn,3
230907,ebina,0.0,0.0,cyrn,3
230907,gotenba,0.0,0.0,cyrn,3
230908,odawara,0.0,41.5,cyry,1
230908,ebina,0.0,46.5,cyry,1
230908,gotenba,0.0,39.5,cyry,1
230909,odawara,0.017,1.0,cyrf,2
230909,ebina,0.017,2.0,cyrf,2
230909,gotenba,0.0,0.5,cyrf,2
230910,odawara,0.717,0.0,cfrn,6
230910,ebina,0.8,0.0,cfrn,6
230910,gotenba,0.817,0.0,cfrn,6
230911,odawara,0.567,0.0,cfrn,6
230911,ebina,0.567,0.0,cfrn,6
230911,gotenba,0.667,0.0,cfrn,6
230912,odawara,0.933,0.0,cnrn,9
230912,ebina,0.633,0.0,cfrn,6
230912,gotenba,0.967,0.0,cnrn,9
230913,odawara,1.033,0.0,cnrn,9
230913,ebina,1.033,0.0,cnrn,9
230913,gotenba,0.967,0.0,cnrn,9
230914,odawara,1.033,0.0,cnrn,9
230914,ebina,1.0,0.0,cnrn,9
230914,gotenba,0.983,0.0,cnrn,9
230915,odawara,0.95,0.0,cnrn,9
230915,ebina,0.683,0.0,cfrn,6
230915,gotenba,0.517,0.5,cfrf,5
230916,odawara,0.533,0.0,cfrn,6
230916,ebina,0.15,0.0,cfrn,6
230916,gotenba,0.417,0.0,cfrn,6
230917,odawara,0.467,0.0,cfrn,6
230917,ebina,0.383,0.0,cfrn,6
230917,gotenba,0.417,0.0,cfrn,6
230918,odawara,1.017,0.0,cnrn,9
230918,ebina,1.017,0.0,cnrn,9
230918,gotenba,0.933,0.0,cnrn,9
230919,odawara,0.867,0.0,cfrn,6
230919,ebina,1.017,0.0,cnrn,9
230919,gotenba,0.833,0.0,cfrn,6
230920,odawara,0.633,0.0,cfrn,6
230920,ebina,0.5,0.0,cfrn,6
230920,gotenba,0.65,0.0,cfrn,6
230921,odawara,0.0,13.5,cyry,1
230921,ebina,0.0,5.0,cyrf,2
230921,gotenba,0.0,7.0,cyrf,2
230922,odawara,0.05,2.5,cyrf,2
230922,ebina,0.05,6.0,cyrf,2
230922,gotenba,0.2,1.5,cfrf,5
230923,odawara,0.0,7.5,cyrf,2
230923,ebina,0.0,1.0,cyrf,2
230923,gotenba,0.0,4.0,cyrf,2
230924,odawara,0.317,0.0,cfrn,6
230924,ebina,0.433,0.0,cfrn,6
230924,gotenba,0.717,0.0,cfrn,6
230925,odawara,0.983,0.0,cnrn,9
230925,ebina,0.917,0.0,cnrn,9
230925,gotenba,0.95,0.0,cnrn,9
